rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,axes,buttons
1682468247849368791,,78094,,1682468247,847754120,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247883653422,,78095,,1682468247,881404921,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247920115160,,78096,,1682468247,915058858,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247951786359,,78097,,1682468247,948944093,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468247983035730,,78098,,1682468247,981294082,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248013250692,,78099,,1682468248,11681045,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248046207694,,78100,,1682468248,44324477,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248080561701,,78101,,1682468248,77915245,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248116517099,,78102,,1682468248,114003732,"""joystick""","[-1.0, 0.05154576152563095, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
1682468248148750479,,78103,,1682468248,146958847,"""joystick""","[-1.0, 0.04123050719499588, 1.0, 1.0, 0.0, -1.0, 0.0, 0.0]","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
